"","sex","age","occupations"
"1",1,43,0
"2",0,92,18
"3",0,97,14
"4",1,50,19
"5",0,25,21
"6",1,94,9
"7",0,6,-1
"8",0,62,10
"9",1,2,-1
"10",1,7,-1
"11",0,21,2
"12",1,69,9
"13",1,94,8
"14",0,45,20
"15",0,30,21
"16",0,38,5
"17",1,20,11
"18",1,14,-1
"19",0,49,13
"20",1,38,11
"21",0,25,15
"22",1,54,7
"23",1,35,17
"24",1,2,-1
"25",0,98,16
"26",1,9,-1
"27",1,93,19
"28",1,65,15
"29",1,17,-1
"30",0,50,19
"31",1,34,14
"32",1,52,15
"33",1,13,-1
"34",0,84,21
"35",1,69,6
"36",0,22,2
"37",1,50,8
"38",1,27,15
"39",1,59,0
"40",0,6,-1
"41",1,8,-1
"42",0,35,18
"43",1,80,17
"44",0,63,11
"45",1,99,7
"46",1,87,3
"47",0,94,13
"48",1,10,-1
"49",1,91,14
"50",1,55,8
"51",1,90,3
"52",0,45,16
"53",0,17,-1
"54",0,8,-1
"55",0,32,14
"56",0,43,3
"57",1,27,5
"58",0,77,8
"59",0,71,3
"60",0,1,-1
"61",1,84,12
"62",1,94,0
"63",1,61,16
"64",1,11,-1
"65",1,100,5
"66",1,71,7
"67",1,68,0
"68",1,17,-1
"69",1,8,-1
"70",1,82,4
"71",0,5,-1
"72",1,5,-1
"73",0,24,20
"74",0,76,8
"75",1,99,16
"76",1,63,1
"77",0,88,15
"78",1,15,-1
"79",0,90,1
"80",0,55,11
"81",0,88,3
"82",0,68,3
"83",0,86,4
"84",0,60,15
"85",0,79,21
"86",1,39,12
"87",0,73,7
"88",0,88,15
"89",1,72,11
"90",0,44,13
"91",0,9,-1
"92",1,37,14
"93",0,6,-1
"94",1,89,15
"95",0,66,9
"96",1,42,14
"97",1,31,21
"98",1,67,0
"99",0,87,1
"100",1,40,1
"101",0,80,13
"102",0,5,-1
"103",1,77,3
"104",0,33,17
"105",0,66,7
"106",0,24,7
"107",1,96,7
"108",0,26,3
"109",1,13,-1
"110",0,32,6
"111",0,4,-1
"112",1,31,8
"113",0,70,10
"114",1,74,18
"115",0,15,-1
"116",1,42,16
"117",0,54,4
"118",1,75,10
"119",1,10,-1
"120",0,72,8
"121",1,58,11
"122",1,91,14
"123",1,90,21
"124",0,56,10
"125",1,55,7
"126",1,38,17
"127",0,75,15
"128",0,79,6
"129",1,45,3
"130",0,92,12
"131",0,18,-1
"132",0,6,-1
"133",1,71,1
"134",1,70,14
"135",0,57,10
"136",0,69,4
"137",0,75,1
"138",1,30,5
"139",0,61,18
"140",1,12,-1
"141",0,95,21
