"","sex","age","occupations"
"1",1,43,18
"2",1,65,16
"3",1,71,12
"4",1,35,0
"5",1,66,14
"6",0,105,10
"7",0,104,14
"8",1,52,14
"9",0,19,14
"10",0,50,16
"11",1,64,12
"12",1,97,2
"13",0,22,1
"14",1,104,16
"15",1,83,14
"16",0,90,21
"17",0,67,12
"18",1,21,12
"19",1,99,18
"20",1,22,2
"21",0,36,2
"22",0,46,2
"23",0,54,14
"24",0,85,12
"25",1,32,1
"26",1,88,21
"27",0,80,2
"28",0,67,2
"29",0,70,14
"30",1,42,12
"31",0,24,18
"32",1,70,2
"33",0,60,0
"34",1,34,0
"35",0,50,18
"36",0,55,12
"37",1,48,21
"38",1,56,14
"39",1,45,21
"40",1,13,-1
"41",1,65,9
"42",1,101,14
"43",1,76,0
"44",1,43,14
"45",1,46,14
"46",0,110,19
"47",1,105,14
"48",0,59,2
"49",1,51,20
"50",1,50,12
"51",1,49,16
"52",0,48,18
"53",1,69,14
"54",0,35,9
"55",1,87,1
"56",1,78,5
"57",0,63,12
"58",0,56,0
"59",1,34,21
"60",0,32,0
"61",1,78,12
"62",0,83,12
"63",1,54,14
"64",0,71,15
"65",0,70,1
"66",1,21,4
"67",1,49,20
"68",1,48,1
"69",0,69,0
"70",0,39,0
"71",0,63,2
"72",0,36,0
"73",0,80,20
"74",0,78,1
"75",1,61,14
"76",0,104,1
"77",0,102,21
"78",0,47,16
"79",1,76,2
"80",0,81,12
"81",0,47,0
"82",0,80,14
"83",0,17,-1
"84",1,101,13
"85",1,108,1
"86",0,109,1
"87",0,94,12
"88",0,61,2
"89",1,41,9
"90",1,96,0
"91",0,91,16
"92",0,92,15
"93",0,40,2
"94",1,46,13
"95",0,66,2
"96",0,51,0
"97",1,78,21
"98",1,44,14
"99",0,79,20
"100",0,65,2
"101",0,63,8
"102",1,82,14
"103",1,54,15
"104",1,64,2
"105",0,59,12
"106",0,52,21
"107",1,33,15
"108",0,49,18
"109",1,79,1
"110",1,68,12
"111",1,48,16
"112",0,60,2
"113",0,64,1
"114",1,61,12
"115",1,29,12
"116",1,60,9
"117",1,34,21
"118",1,52,13
"119",0,64,12
"120",1,63,12
"121",1,69,21
"122",0,78,12
"123",0,7,-1
"124",0,35,8
"125",1,91,12
"126",1,43,16
"127",1,18,-1
"128",0,77,18
"129",1,62,1
"130",1,57,12
"131",1,68,0
"132",0,27,12
"133",0,116,14
"134",1,48,13
"135",1,52,15
"136",1,44,1
"137",0,48,20
"138",1,74,2
"139",1,11,-1
"140",0,59,19
"141",1,84,14
"142",1,64,2
"143",0,54,15
"144",0,33,1
"145",1,84,9
"146",1,76,0
"147",0,78,11
"148",1,47,12
"149",0,52,14
"150",1,87,0
"151",0,57,21
"152",0,48,15
"153",0,53,20
"154",1,94,14
"155",0,97,3
"156",1,71,20
"157",1,79,12
"158",0,43,2
"159",1,56,21
"160",0,72,0
"161",0,20,1
"162",0,64,2
"163",1,61,1
"164",1,102,14
"165",0,35,10
"166",0,86,1
"167",0,111,12
"168",0,104,11
"169",1,72,14
"170",0,49,9
"171",0,54,10
"172",0,96,16
"173",0,45,0
"174",1,75,12
"175",1,61,15
"176",0,85,9
"177",1,37,0
"178",1,27,20
"179",1,82,2
"180",0,43,21
"181",1,76,21
"182",1,39,16
"183",0,66,14
"184",1,65,12
"185",1,35,14
"186",1,62,2
"187",1,66,18
"188",1,113,0
"189",0,54,12
"190",1,79,0
"191",1,76,14
"192",0,26,18
"193",1,49,1
"194",1,70,14
"195",1,24,16
"196",0,62,0
"197",1,91,2
"198",0,33,0
"199",1,21,12
"200",1,79,14
"201",1,64,12
"202",0,82,2
"203",1,97,6
"204",1,88,16
"205",0,59,12
"206",1,58,12
"207",0,45,4
"208",1,39,2
"209",1,74,2
"210",0,31,2
"211",0,114,9
"212",0,20,18
"213",0,129,20
"214",0,74,21
"215",1,42,14
"216",1,105,10
"217",0,33,21
"218",1,81,0
"219",0,70,12
"220",0,57,21
"221",0,61,12
"222",0,38,2
"223",0,91,1
"224",1,66,2
"225",1,77,21
"226",0,75,21
"227",0,61,0
"228",0,46,21
"229",1,75,12
"230",0,62,12
"231",1,41,12
"232",0,21,5
"233",1,71,2
"234",0,55,12
"235",0,5,-1
"236",0,68,14
"237",1,46,7
"238",0,97,20
"239",1,96,2
"240",1,64,12
"241",1,77,18
"242",1,57,1
"243",0,60,14
"244",1,66,14
"245",1,41,14
"246",0,45,0
"247",1,44,21
"248",1,2,-1
"249",1,61,21
"250",0,51,14
"251",1,79,15
"252",1,17,-1
"253",1,1,-1
"254",0,63,12
"255",1,60,12
"256",0,66,1
"257",0,87,15
"258",1,14,-1
"259",0,76,2
"260",0,101,16
"261",1,84,1
"262",0,60,19
"263",0,83,2
"264",0,20,20
"265",0,47,0
"266",0,78,14
"267",1,39,1
"268",0,69,10
