"","sex","age","occupations"
"1",1,43,2
"2",1,42,2
"3",1,3,0
"4",0,45,2
"5",0,14,2
"6",1,52,0
"7",1,26,0
"8",0,58,2
"9",1,40,2
"10",0,26,0
"11",1,33,0
"12",1,19,0
"13",1,0,2
"14",1,37,0
"15",0,82,2
"16",0,1,0
"17",1,7,2
"18",0,32,0
"19",0,16,2
"20",1,0,0
"21",0,24,2
"22",1,23,0
"23",0,44,0
"24",1,20,2
"25",0,30,2
"26",1,51,2
"27",1,33,0
"28",1,11,2
"29",1,3,2
"30",0,40,2
"31",1,14,0
"32",0,7,0
"33",0,30,2
"34",1,27,2
"35",1,10,0
"36",1,34,2
"37",0,42,2
"38",0,51,2
"39",1,68,0
"40",0,40,0
"41",0,17,2
"42",1,11,2
"43",0,50,2
"44",0,42,2
"45",1,26,2
"46",1,39,4
"47",1,89,2
"48",0,7,2
"49",1,44,2
"50",1,12,2
"51",0,3,2
"52",0,10,0
"53",0,50,2
"54",0,67,2
"55",0,30,2
"56",0,1,0
"57",0,78,2
"58",1,45,2
"59",0,33,2
"60",1,21,2
"61",0,37,2
"62",1,49,2
"63",1,35,2
"64",0,7,2
"65",1,23,0
"66",0,12,2
"67",0,16,2
"68",0,37,0
"69",0,26,0
"70",0,39,0
"71",0,17,2
"72",0,1,0
"73",1,12,2
"74",0,0,2
"75",1,40,2
"76",0,13,0
"77",0,42,2
"78",1,28,0
"79",0,49,2
"80",0,5,2
"81",1,44,0
"82",1,22,0
"83",0,19,2
"84",1,18,2
"85",1,2,0
"86",1,42,4
"87",1,61,2
"88",0,34,0
"89",0,33,2
"90",0,54,2
"91",1,46,2
"92",1,12,2
"93",1,35,2
"94",0,29,2
"95",1,18,2
"96",1,62,2
"97",1,31,2
"98",1,8,2
"99",0,4,2
"100",0,13,0
"101",0,33,0
"102",1,18,0
"103",1,42,0
"104",0,44,2
"105",1,45,2
"106",1,29,2
"107",0,25,2
"108",1,3,2
"109",0,19,2
"110",0,8,4
"111",1,28,0
