"","sex","age","occupations"
"1",0,30,0
"2",0,27,2
"3",0,12,-1
"4",0,4,-1
"5",0,53,12
"6",0,37,14
"7",0,82,12
"8",0,14,-1
"9",0,17,-1
"10",1,12,-1
"11",0,18,-1
"12",0,11,-1
"13",0,53,14
"14",0,56,19
"15",0,11,-1
"16",0,10,-1
"17",0,17,-1
"18",1,55,0
"19",0,17,-1
"20",0,46,14
"21",0,4,-1
"22",1,25,9
"23",0,47,3
"24",0,75,2
"25",0,7,-1
"26",0,10,-1
"27",0,81,0
"28",0,59,5
"29",0,55,14
"30",0,69,14
"31",1,33,12
"32",1,75,19
"33",0,24,14
"34",0,39,8
"35",1,53,14
"36",0,16,-1
"37",0,35,2
"38",0,25,15
"39",0,23,1
"40",1,18,-1
"41",0,35,18
"42",0,13,-1
"43",0,63,1
"44",0,18,-1
"45",0,36,2
"46",0,14,-1
"47",0,41,1
"48",1,28,14
"49",1,4,-1
"50",0,14,-1
"51",0,46,18
"52",0,46,12
"53",0,49,13
"54",0,62,16
"55",0,52,20
"56",0,25,1
"57",0,5,-1
"58",0,32,15
"59",0,54,18
"60",0,3,-1
"61",1,60,12
"62",1,32,14
"63",0,14,-1
"64",0,11,-1
"65",0,19,21
"66",0,55,13
"67",1,35,3
"68",1,25,0
"69",0,73,20
"70",0,17,-1
"71",1,39,18
"72",0,0,-1
"73",0,17,-1
"74",0,16,-1
"75",1,56,7
"76",1,1,-1
"77",0,4,-1
"78",1,72,20
"79",0,61,12
"80",0,27,14
"81",1,54,7
"82",0,2,-1
"83",1,49,16
"84",0,25,1
"85",0,26,3
"86",0,35,14
"87",0,35,1
"88",0,66,14
"89",1,24,21
"90",0,55,14
"91",0,56,15
"92",0,18,-1
"93",0,27,21
"94",0,5,-1
"95",0,18,-1
"96",0,36,0
"97",0,21,14
"98",0,31,2
"99",0,21,0
"100",0,24,14
"101",0,70,14
"102",1,3,-1
"103",1,3,-1
"104",0,1,-1
"105",0,18,-1
"106",0,32,0
"107",1,42,2
"108",0,83,21
"109",0,47,0
"110",0,53,2
"111",0,31,15
"112",0,45,2
"113",0,24,12
"114",1,12,-1
"115",0,41,2
"116",1,16,-1
"117",0,30,21
"118",1,37,1
"119",0,42,21
"120",1,52,2
"121",0,39,21
"122",0,73,16
"123",0,30,19
"124",1,18,-1
"125",1,18,-1
"126",0,39,1
"127",0,35,14
"128",1,28,21
"129",1,5,-1
"130",0,54,21
"131",1,28,1
"132",0,48,14
"133",1,9,-1
"134",0,29,8
"135",0,57,14
"136",0,23,2
"137",0,28,21
"138",0,38,21
"139",0,11,-1
"140",0,48,3
"141",0,6,-1
"142",0,24,12
"143",1,47,2
"144",0,37,12
"145",0,18,-1
"146",0,89,15
"147",0,28,14
"148",0,27,6
"149",1,33,18
"150",1,2,-1
"151",1,9,-1
"152",0,35,7
"153",0,28,2
"154",1,10,-1
"155",0,19,14
"156",1,39,12
"157",0,11,-1
"158",1,68,11
"159",0,51,21
"160",0,36,12
"161",0,55,16
"162",0,20,14
"163",0,39,12
"164",1,60,13
"165",0,46,2
"166",0,23,17
"167",0,41,16
"168",0,10,-1
"169",0,38,2
"170",1,22,16
"171",0,52,21
"172",0,63,8
"173",0,4,-1
"174",0,2,-1
"175",0,5,-1
"176",1,12,-1
"177",1,38,1
"178",0,36,14
"179",0,17,-1
"180",1,46,21
"181",0,70,18
"182",0,83,15
"183",0,17,-1
"184",1,28,2
"185",0,12,-1
"186",0,32,18
"187",1,4,-1
"188",1,2,-1
"189",1,10,-1
"190",0,28,14
"191",0,62,12
"192",0,6,-1
"193",0,30,19
"194",1,4,-1
"195",0,41,1
"196",0,38,2
"197",0,10,-1
"198",0,43,1
"199",0,20,18
"200",0,17,-1
"201",0,13,-1
"202",0,29,2
"203",1,0,-1
"204",0,60,1
"205",0,27,21
"206",1,85,9
"207",0,66,14
"208",0,22,0
"209",0,9,-1
"210",0,40,20
"211",1,8,-1
"212",0,39,14
"213",0,19,12
"214",0,16,-1
"215",1,35,16
"216",0,25,0
"217",0,23,14
"218",0,1,-1
"219",0,44,15
"220",0,26,21
"221",0,31,1
"222",1,44,13
"223",0,52,2
"224",0,67,2
"225",0,38,1
"226",0,11,-1
"227",0,19,2
"228",1,5,-1
"229",0,88,12
"230",0,33,21
"231",0,27,12
"232",0,52,18
"233",0,57,12
"234",0,16,-1
"235",0,26,14
"236",0,72,16
"237",0,74,1
"238",0,51,2
"239",1,30,15
"240",0,16,-1
"241",1,46,14
"242",1,15,-1
"243",0,8,-1
"244",1,13,-1
"245",0,42,7
"246",0,29,2
"247",0,93,12
"248",0,65,17
"249",0,39,12
"250",1,0,-1
"251",0,24,2
"252",0,29,20
"253",1,13,-1
"254",0,34,15
"255",0,18,-1
"256",1,25,1
"257",1,6,-1
"258",0,30,20
"259",0,18,-1
"260",0,37,1
"261",0,32,0
"262",1,14,-1
"263",0,36,12
"264",0,40,14
"265",0,48,12
"266",0,3,-1
"267",0,45,19
"268",0,57,14
"269",0,12,-1
"270",0,32,14
"271",0,64,12
"272",0,60,21
"273",0,31,18
"274",0,33,1
"275",0,62,21
"276",0,5,-1
"277",0,37,12
"278",0,24,1
"279",1,38,12
"280",0,32,20
"281",0,4,-1
"282",0,3,-1
"283",0,69,0
"284",1,27,14
"285",1,36,1
"286",1,18,-1
"287",0,16,-1
"288",0,36,1
"289",0,35,12
"290",0,43,14
"291",0,15,-1
"292",0,51,9
"293",0,28,1
"294",0,39,0
"295",0,16,-1
"296",1,1,-1
"297",1,42,15
"298",0,14,-1
"299",0,25,14
"300",1,29,0
"301",0,26,0
"302",0,60,21
"303",0,27,0
"304",0,17,-1
"305",1,17,-1
"306",1,23,14
"307",0,48,14
"308",0,42,0
"309",0,66,1
"310",0,32,9
"311",0,50,19
"312",0,45,21
"313",1,12,-1
"314",0,68,21
"315",0,31,2
"316",0,43,15
"317",0,19,16
"318",1,15,-1
"319",0,4,-1
"320",0,4,-1
"321",0,47,15
"322",0,40,14
"323",0,2,-1
"324",0,57,12
"325",1,38,2
"326",1,21,11
"327",1,53,5
"328",0,52,14
"329",0,3,-1
"330",0,20,16
"331",0,43,2
"332",0,13,-1
"333",0,58,20
"334",0,30,18
"335",1,16,-1
"336",0,28,5
"337",0,36,21
"338",0,7,-1
"339",1,30,12
"340",0,5,-1
"341",1,50,15
"342",1,21,21
"343",1,72,14
"344",0,24,14
"345",0,21,21
"346",1,68,7
"347",0,55,16
"348",1,17,-1
"349",0,23,21
"350",0,36,1
"351",0,17,-1
"352",0,52,1
"353",1,20,9
"354",0,52,9
"355",1,47,8
"356",0,43,16
"357",0,9,-1
"358",0,47,14
"359",0,16,-1
"360",0,28,15
"361",0,61,9
"362",0,5,-1
"363",0,79,18
"364",0,47,0
"365",0,8,-1
"366",0,63,14
"367",1,47,0
"368",0,12,-1
"369",0,7,-1
"370",1,17,-1
"371",0,56,19
"372",0,31,1
"373",0,38,14
"374",0,3,-1
"375",0,24,18
"376",1,10,-1
"377",0,33,14
"378",1,39,14
"379",0,4,-1
"380",0,25,7
"381",1,45,8
"382",0,32,12
"383",0,40,12
"384",0,37,15
"385",0,16,-1
"386",1,51,14
"387",0,27,1
"388",1,52,12
"389",0,66,16
"390",1,48,14
"391",0,66,1
"392",0,75,5
"393",0,4,-1
"394",0,12,-1
"395",0,17,-1
"396",0,0,-1
"397",0,4,-1
"398",0,22,2
"399",1,65,21
"400",0,28,16
"401",0,3,-1
"402",0,19,12
"403",0,7,-1
"404",0,0,-1
"405",1,22,21
"406",0,35,2
"407",0,70,21
"408",0,62,20
"409",0,76,14
"410",0,45,0
"411",0,42,1
"412",0,37,14
"413",0,25,12
"414",0,10,-1
"415",0,49,14
"416",0,36,20
"417",0,19,1
"418",1,67,21
"419",0,15,-1
"420",1,35,0
"421",0,3,-1
"422",0,35,12
"423",0,15,-1
"424",0,12,-1
"425",0,14,-1
"426",1,54,7
"427",1,63,16
"428",0,30,16
"429",0,1,-1
"430",1,11,-1
"431",0,31,16
"432",0,79,14
"433",0,35,1
"434",1,21,12
"435",0,28,12
"436",0,13,-1
"437",0,48,21
"438",0,23,14
"439",1,0,-1
"440",0,53,14
"441",0,39,2
"442",0,16,-1
"443",1,24,13
"444",0,66,9
"445",0,51,2
"446",0,4,-1
"447",0,27,12
"448",0,27,16
"449",0,56,21
"450",0,1,-1
"451",0,5,-1
"452",1,7,-1
"453",1,17,-1
"454",0,61,20
"455",0,40,12
"456",1,63,2
"457",1,14,-1
"458",1,8,-1
"459",0,54,2
"460",1,39,0
"461",0,38,14
"462",0,66,20
"463",0,10,-1
"464",0,51,15
"465",0,36,14
"466",0,33,14
"467",0,4,-1
"468",1,25,12
"469",0,28,1
"470",0,19,13
"471",0,63,19
"472",0,36,1
"473",0,35,12
"474",0,13,-1
"475",0,17,-1
"476",0,22,2
"477",0,34,2
"478",0,89,7
"479",0,7,-1
"480",0,23,2
"481",0,42,14
"482",1,4,-1
"483",0,25,18
"484",0,11,-1
"485",0,13,-1
"486",1,41,1
"487",1,26,20
"488",0,22,1
"489",0,72,20
"490",0,16,-1
"491",0,0,-1
"492",0,46,1
"493",0,56,1
"494",0,14,-1
"495",0,35,13
"496",1,7,-1
"497",0,46,21
"498",0,63,12
"499",1,33,2
"500",0,28,12
"501",1,48,18
"502",1,19,21
"503",0,55,0
"504",0,17,-1
"505",0,36,14
"506",1,63,14
"507",0,18,-1
"508",1,7,-1
"509",0,8,-1
"510",1,10,-1
"511",0,4,-1
"512",0,20,9
"513",0,6,-1
"514",0,25,2
"515",1,26,1
"516",0,48,12
"517",1,60,2
"518",1,44,12
"519",0,53,2
"520",0,39,12
"521",0,4,-1
"522",0,59,12
"523",1,41,20
"524",0,42,1
"525",0,34,4
"526",0,35,9
"527",1,1,-1
"528",0,55,13
"529",0,23,6
"530",0,11,-1
"531",0,10,-1
"532",1,27,21
"533",0,26,15
"534",0,10,-1
"535",0,12,-1
"536",0,20,0
"537",0,72,18
"538",0,15,-1
"539",1,28,0
"540",0,38,2
"541",0,59,0
"542",1,2,-1
"543",0,27,2
"544",0,29,15
"545",1,20,14
"546",0,55,20
"547",0,40,19
"548",0,21,9
"549",0,11,-1
"550",0,44,16
"551",1,59,21
"552",0,27,12
"553",0,60,20
"554",0,44,1
"555",0,37,11
"556",0,7,-1
"557",0,6,-1
"558",1,59,8
"559",0,7,-1
"560",0,15,-1
"561",0,27,12
"562",1,29,1
"563",0,20,20
"564",0,37,20
"565",0,57,17
"566",0,30,2
"567",0,32,21
"568",0,94,16
"569",0,36,14
"570",0,36,13
"571",0,26,16
"572",0,19,16
"573",0,12,-1
"574",0,49,0
"575",0,32,10
"576",0,17,-1
"577",0,6,-1
"578",0,53,19
"579",0,35,14
"580",0,38,14
"581",0,48,7
"582",0,22,21
"583",0,36,12
"584",0,50,21
"585",1,16,-1
"586",0,38,14
"587",1,47,18
"588",1,71,9
"589",0,17,-1
"590",0,8,-1
"591",0,17,-1
"592",0,50,14
"593",0,31,14
"594",0,27,1
"595",0,1,-1
"596",0,19,8
"597",1,54,12
"598",0,46,14
"599",0,14,-1
"600",1,31,10
"601",1,41,12
"602",0,59,1
"603",1,48,13
"604",1,42,12
"605",0,60,18
"606",0,17,-1
"607",0,44,14
"608",1,1,-1
"609",0,87,14
"610",1,37,14
"611",0,24,12
"612",0,34,13
"613",0,80,14
"614",1,21,2
"615",0,27,0
"616",1,35,4
"617",0,39,1
"618",0,15,-1
"619",0,42,1
"620",0,21,1
"621",0,54,21
"622",0,1,-1
"623",0,30,2
"624",1,9,-1
"625",1,35,12
"626",0,32,0
"627",1,32,12
"628",0,60,0
"629",0,5,-1
"630",0,38,1
"631",0,17,-1
"632",0,30,2
"633",1,16,-1
"634",0,26,0
"635",1,23,21
"636",0,46,14
"637",0,63,12
"638",0,46,18
"639",0,58,13
"640",1,5,-1
"641",0,26,9
"642",1,50,12
"643",0,70,12
"644",1,46,12
"645",0,47,1
"646",0,26,19
"647",0,14,-1
"648",0,49,20
"649",0,45,14
"650",0,50,2
"651",1,16,-1
"652",1,7,-1
"653",0,39,21
"654",1,7,-1
"655",1,9,-1
"656",0,48,14
"657",0,61,6
"658",0,38,0
"659",0,23,0
"660",0,31,21
"661",0,4,-1
"662",1,36,15
"663",1,4,-1
"664",0,25,1
"665",1,15,-1
"666",0,16,-1
"667",0,32,2
"668",0,8,-1
"669",0,9,-1
"670",0,58,20
"671",0,82,2
"672",0,36,16
"673",0,125,14
"674",0,34,13
"675",0,55,2
"676",0,2,-1
"677",1,23,1
"678",0,10,-1
"679",0,28,18
"680",0,17,-1
"681",0,7,-1
"682",0,7,-1
"683",1,44,19
"684",0,9,-1
"685",0,8,-1
"686",0,9,-1
"687",1,23,1
"688",0,11,-1
"689",0,87,14
"690",0,4,-1
"691",0,25,16
"692",0,42,12
"693",0,55,3
"694",0,16,-1
"695",0,3,-1
"696",0,25,13
"697",0,91,20
"698",0,42,14
"699",0,55,2
"700",0,4,-1
"701",0,7,-1
"702",1,42,20
"703",0,46,20
"704",0,14,-1
"705",1,13,-1
"706",0,45,9
"707",0,35,12
"708",1,35,12
"709",0,29,14
"710",0,67,12
"711",0,3,-1
"712",1,38,18
"713",1,63,14
"714",0,7,-1
"715",0,16,-1
"716",0,51,14
"717",1,34,1
"718",1,20,0
"719",1,29,18
"720",0,32,16
"721",0,42,12
"722",1,44,14
"723",0,9,-1
"724",0,11,-1
"725",0,64,2
"726",0,57,1
"727",0,46,12
"728",1,31,2
"729",1,21,14
"730",0,14,-1
"731",0,20,14
"732",0,54,21
"733",0,44,7
